PARTIDO,NUM_VOTOS,PORCENTAJE
Abstenciones,164,"22,13225371120107962213225371120107962213"
Abstenciones,84,"16,06118546845124282982791586998087954111"
Abstenciones,113,"22,46520874751491053677932405566600397614"
Abstenciones,190,"25,81521739130434782608695652173913043478"
Abstenciones,170,"27,24358974358974358974358974358974358974"
Abstenciones,140,"23,64864864864864864864864864864864864865"
Abstenciones,150,"31,57894736842105263157894736842105263158"
Abstenciones,133,"28,78787878787878787878787878787878787879"
Abstenciones,115,"18,60841423948220064724919093851132686084"
Abstenciones,116,"26,00896860986547085201793721973094170404"
Abstenciones,181,"34,15094339622641509433962264150943396226"
Abstenciones,175,"33,52490421455938697318007662835249042146"
Abstenciones,83,"28,32764505119453924914675767918088737201"
Abstenciones,134,"17,49347258485639686684073107049608355091"
Abstenciones,126,"17,94871794871794871794871794871794871795"
Abstenciones,121,"30,32581453634085213032581453634085213033"
Abstenciones,86,"21,93877551020408163265306122448979591837"
Abstenciones,124,"17,05639614855570839064649243466299862448"
Abstenciones,96,"13,25966850828729281767955801104972375691"
Abstenciones,125,"20,12882447665056360708534621578099838969"
Abstenciones,109,"24,49438202247191011235955056179775280899"
Abstenciones,116,"32,22222222222222222222222222222222222222"
Abstenciones,126,"20,93023255813953488372093023255813953488"
Abstenciones,69,"16,54676258992805755395683453237410071942"
Abstenciones,80,"18,95734597156398104265402843601895734597"
Abstenciones,71,"14,88469601677148846960167714884696016771"
Abstenciones,88,"18,8034188034188034188034188034188034188"
Abstenciones,182,"24,10596026490066225165562913907284768212"
Abstenciones,124,"17,41573033707865168539325842696629213483"
Abstenciones,127,"20,03154574132492113564668769716088328076"
Abstenciones,183,"21,73396674584323040380047505938242280285"
Abstenciones,180,"31,08808290155440414507772020725388601036"
Abstenciones,128,"21,19205298013245033112582781456953642384"
Abstenciones,159,"28,49462365591397849462365591397849462366"
Abstenciones,148,"24,14355628058727569331158238172920065253"
Abstenciones,246,"34,99288762446657183499288762446657183499"
Abstenciones,143,"27,7669902912621359223300970873786407767"
Abstenciones,117,"19,73018549747048903878583473861720067454"
Abstenciones,163,"19,24439197166469893742621015348288075561"
Abstenciones,159,"19,67821782178217821782178217821782178218"
Abstenciones,109,"17,0046801872074882995319812792511700468"
Abstenciones,109,"25,17321016166281755196304849884526558891"
Abstenciones,170,"24,49567723342939481268011527377521613833"
Abstenciones,139,20
Abstenciones,117,"17,05539358600583090379008746355685131195"
Abstenciones,131,"21,23176661264181523500810372771474878444"
Abstenciones,106,"24,42396313364055299539170506912442396313"
Abstenciones,105,"17,64705882352941176470588235294117647059"
Abstenciones,151,"24,04458598726114649681528662420382165605"
Abstenciones,289,"37,09884467265725288831835686777920410783"
Abstenciones,272,"36,51006711409395973154362416107382550336"
Abstenciones,153,"27,07964601769911504424778761061946902655"
Abstenciones,110,"25,70093457943925233644859813084112149533"
Abstenciones,197,"30,26113671274961597542242703533026113671"
Abstenciones,176,"28,38709677419354838709677419354838709677"
Abstenciones,182,"31,16438356164383561643835616438356164384"
Abstenciones,236,"30,37323037323037323037323037323037323037"
Abstenciones,113,"26,65094339622641509433962264150943396226"
Abstenciones,174,"27,70700636942675159235668789808917197452"
Abstenciones,204,"26,77165354330708661417322834645669291339"
Abstenciones,204,"25,85551330798479087452471482889733840304"
Abstenciones,136,"26,66666666666666666666666666666666666667"
Abstenciones,159,"33,90191897654584221748400852878464818763"
Abstenciones,232,"29,62962962962962962962962962962962962963"
Abstenciones,163,"34,75479744136460554371002132196162046908"
Abstenciones,296,"35,32219570405727923627684964200477326969"
Abstenciones,161,"24,84567901234567901234567901234567901235"
Abstenciones,187,"28,12030075187969924812030075187969924812"
Abstenciones,233,"28,10615199034981905910735826296743063932"
Abstenciones,173,"25,5917159763313609467455621301775147929"
Abstenciones,170,"25,64102564102564102564102564102564102564"
Abstenciones,195,"31,40096618357487922705314009661835748792"
Abstenciones,202,"29,44606413994169096209912536443148688047"
Abstenciones,146,"25,52447552447552447552447552447552447552"
Abstenciones,168,"27,8606965174129353233830845771144278607"
Abstenciones,205,"31,15501519756838905775075987841945288754"
Abstenciones,202,"29,57540263543191800878477306002928257687"
Abstenciones,139,"25,09025270758122743682310469314079422383"
Abstenciones,151,"21,08938547486033519553072625698324022346"
Abstenciones,190,"29,64118564742589703588143525741029641186"
Abstenciones,141,"21,72573189522342064714946070878274268105"
Abstenciones,212,"39,55223880597014925373134328358208955224"
Abstenciones,178,"33,45864661654135338345864661654135338346"
Abstenciones,297,"40,96551724137931034482758620689655172414"
Abstenciones,196,"28,95125553914327917282127031019202363368"
Abstenciones,289,"41,76300578034682080924855491329479768786"
Abstenciones,172,"23,08724832214765100671140939597315436242"
Abstenciones,238,"35,20710059171597633136094674556213017751"
Abstenciones,164,"31,00189035916824196597353497164461247637"
Abstenciones,235,"29,5226130653266331658291457286432160804"
Abstenciones,100,"20,16129032258064516129032258064516129032"
